"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"565","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,225,"d","1.71","0.31","Davis & Hicks (2014,TAMUON) Study 2","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #459",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,"yes",565,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"566","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,80,"d","1.22","0.48","Brandt et al. (2014,Tilburg)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #460",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,"no",566,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"567","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,127,"d","2.29","0.45","Klein et al. (2014,UFL)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #461",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,"yes",567,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"568","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,144,"d","0.78","0.34","Vianello & Galliani (2014,UNIPD)","signal - consistent","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #462",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,"yes",568,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"569","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,81,"d","1.88","0.53","Schmidt & Nosek (2014,UVA)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #463",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,"no",569,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"570","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,108,"d","1.58","0.43","Hovermale & Joy-Gaba (2014,VCU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #464",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,"yes",570,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"571","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,96,"d","1.8","0.48","Swol (2014,Wisc)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #465",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,"yes",571,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"572","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,103,"d","2.19","0.5","Wichman (2014,WKU)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #466",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,"no",572,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"573","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,90,"d","2.35","0.54","Woodzicka (2014,WL)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #467",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,"yes",573,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"574","question phrasing effect","Rugg (1941)",NA,"d",0.65,NA,87,"d","1.39","0.48","John & Skorinko (2014,WPI)","signal - inconsistent, larger","allowed vs. forbidden question framing","question endorsement (yes vs. no)","close","ML1 #468",NA,NA,NA,NA,NA,"https://web.archive.org/web/20160514100221/https://pantherfile.uwm.edu/suelima/labreport1/rugg1941.pdf","10.1086/265467","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178","https://osf.io/pqf9r/","https://osf.io/xvpu3/","https://osf.io/2gztr/",NA,NA,NA,NA,"social",1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,"no",574,57,NA,NA,NA,0.74025974025974,NA,NA,NA,NA,NA,NA
"575","primacy-of-warmth effect","Asch (1946) Study 1",834,"ES",NA,NA,1023,"ES","?",NA,"Nauts, Langner et al. (2014)",NA,"warm vs. cold (warmth words) available in trait list","warmth vs. competence related personality judgements","close*","SP: Special Issue #1","mTurk (with no age restrictions) rather than student participants ",NA,NA,NA,NA,"http://www.romolocapuano.com/wp-content/uploads/2013/08/Asch-Forming-Impressions-Of-Personality.pdf","10.1037/h0055756","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000179","http://www.openscienceframework.org/r6idy/","http://www.openscienceframework.org/r6idy/","http://www.openscienceframework.org/project/w2D4N/",NA,NA,NA,NA,"social",1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"yes",575,1177,19.85,1.42317146282974,0.275694444444444,16.3472222222222,0.0197662703170797,NA,NA,NA,0.417883546000747,NA
"576","deviation-rejection effect (sociometric test DV)","Schachter (1951)",NA,"d",1.84,NA,80,"d","0.39",NA,"Wesselmann, Williams et al. (2014)","signal - inconsistent, smaller","deviate vs. slider vs. mode (confederate behavior); time (5, 10, 15, 35, 40, 45 minutes from the beginning)","sociometric test","close","SP: Special Issue #2","""Schachter (1951) reported only basic instructions given to each confederate. We developed confederate scripts based upon these instructions. Representative arguments were taken from Schachter’s reenactment in the documentary The Social Animal (Mayer & Norris, 1970) and other relevant topics (e.g., news or media events, book, or film examples).""",NA,"2 other DVs (communication, committee nomination; pattern of results inconsistent with original)",NA,NA,"http://psycnet.apa.org/record/1951-08043-001","10.1037/h0062326","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000180","http://www.openscienceframework.org/project/s92i4/","http://www.openscienceframework.org/project/s92i4/","http://www.openscienceframework.org/project/4yPsJ/",NA,NA,NA,NA,"social",1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"yes",576,527,6,NA,0.0895522388059701,7.86567164179105,NA,NA,NA,NA,NA,NA
"577","Romeo & Juliet Effect","Driscoll et al. (1972)",NA,"r",0.34,0.32,396,"r","-0.05","0.1","Sinclair, Hood, & Wright (2014)","no signal - inconsistent","increases in parental vs. friend interference","love (4 items); commitment to marrige (1 item)","close*","SP: Special Issue #3","mTurk (with no age restrictions) rather than student participants ","Parental interference negatively associated with partner trust, r = -.18, p < .001","2 other DVs (commitment, trust; also inconsistent with originally observed pattern of results)",NA,NA,"https://github.com/eplebel/science-commons/blob/c5a7c68dac7ea9d99d43ed2605d0da62c4ba45f3/curated/driscoll-et-al(1972).pdf","10.1037/h0033373","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000181","https://osf.io/6wxgf/","https://osf.io/6wxgf/","http://www.openscienceframework.org/bQpy4/",NA,NA,NA,NA,"social",1972,NA,"Increases in parental interference positively associated with increases in love over time",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"yes",577,96,28.73,NA,0.624565217391304,2.08695652173913,NA,0.32,35.3168,0.76775652173913,NA,NA
"578","single-exposure musical conditioning effect","Gorn (1982) Study 1",195,"OR",7.69,NA,143,"OR","1.25","[.69,2.29]","Vermeulen, Batenburg et al. (2014) Study 1","no signal - inconsistent","liked vs. disliked music (playing while pen advertised)","pen choice (advertised vs. non-advertised; binary choice)","very close","SP: Special Issue #4",NA,NA,NA,"OR = odds ratio (likelihood of choosing advertised vs. non-advertised pen)",NA,"https://sci-hub.tw/http://www.jstor.org/stable/1251163?seq=1#page_scan_tab_contents","10.2307/1251163","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000182","http://www.openscienceframework.org/project/ietwv/","http://www.openscienceframework.org/project/ietwv/","http://www.openscienceframework.org/project/Z6e8J/",NA,NA,NA,NA,"social",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"yes",578,297,7,1.54102564102564,0.194444444444444,8.25,0.0428062678062678,NA,NA,NA,0.404610078050383,NA
"579","single-exposure musical conditioning effect","Gorn (1982) Study 1",195,"OR",7.69,NA,160,"OR","1.41","[.8,2.5]","Vermeulen, Batenburg et al. (2014) Study 2","no signal - inconsistent","liked vs. disliked music (playing while pen advertised)","pen choice (advertised vs. non-advertised; binary choice)","very close","SP: Special Issue #5",NA,NA,NA,"OR = odds ratio (likelihood of choosing advertised vs. non-advertised pen)",NA,"https://sci-hub.tw/http://www.jstor.org/stable/1251163?seq=1#page_scan_tab_contents","10.2307/1251163","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000182","http://www.openscienceframework.org/project/ietwv/","http://www.openscienceframework.org/project/ietwv/","http://www.openscienceframework.org/project/Z6e8J/",NA,NA,NA,NA,"social",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"yes",579,297,7,1.54102564102564,0.194444444444444,8.25,0.0428062678062678,NA,NA,NA,0.404610078050383,NA
"580","single-exposure musical conditioning effect","Gorn (1982) Study 1",195,"OR",7.69,NA,72,"OR","3.77","[1.51,9.4]","Vermeulen, Batenburg et al. (2014) Study 3","signal - consistent","liked vs. disliked music (playing while pen advertised)","pen choice (advertised vs. non-advertised; binary choice)","close","SP: Special Issue #6","updated (modern) music rather than original music",NA,NA,"OR = odds ratio (likelihood of choosing advertised vs. non-advertised pen)",NA,"https://sci-hub.tw/http://www.jstor.org/stable/1251163?seq=1#page_scan_tab_contents","10.2307/1251163","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000182","http://www.openscienceframework.org/project/ietwv/","http://www.openscienceframework.org/project/ietwv/","http://www.openscienceframework.org/project/Z6e8J/",NA,NA,NA,NA,"social",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"yes",580,297,7,1.54102564102564,0.194444444444444,8.25,0.0428062678062678,NA,NA,NA,0.404610078050383,NA
"581","automatic stereotype activation effect (response priming)","Banaji & Hardin (1996) Study 1",73,"d",0.45,0.23,294,"d","0.51","0.11","Muller & Rothermund (2014)","signal - consistent","male vs. female related primes (words); matching vs. not-matching target word","gender categorization speed (male vs. female, binary)","close","SP: Special Issue #7","excluded control or nonword primes; a new set of prime and target stimuli",NA,"additional semantic priming outcome (to rule out response priming alternative explanation); original pattern of results not replicated",NA,NA,"http://www.people.fas.harvard.edu/~mrbworks/articles/1996_PsySci.pdf","10.1111/j.1467-9280.1996.tb00346.x","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000183","http://www.openscienceframework.org/tv8ai/","http://www.openscienceframework.org/tv8ai/","http://www.openscienceframework.org/project/82Qrv/",NA,NA,NA,NA,"social",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"yes",581,230,23.08,3.30876712328767,1.04909090909091,10.4545454545455,0.150398505603985,0.114247022914439,27.5952259147536,1.25432845067062,0.569324386916139,NA
"582","stereotype susceptibility effect","Shih, Pittinsky, & Ambady (1999) Study 1",46,"d",0.73,0.76,158,"d","0.27","0.38","Gibson, Losee, & Vitiello (2014)","no signal - inconsistent","identity salience (Asian vs. control vs. female; answered questions about identity)","math performance (12-questions; accuracy DV)","very close","SP: Special Issue #8",NA,NA,NA,NA,NA,"http://homepages.se.edu/cvonbergen/files/2013/01/Stereotype-Suscetability_Identity-Salience-and-Shifts-in-Quantitative-Performance.pdf","10.1111/1467-9280.00111","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000184","https://osf.io/eiuq6/","https://osf.io/e69y4/","https://osf.io/jq54i/",NA,NA,NA,NA,"social",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"yes",582,473,48.358,10.8082391304348,2.54515789473684,24.8947368421053,0.568854691075515,0.355217760623573,176.606811009067,9.29509531626669,0.865058286672277,NA
"583","stereotype susceptibility effect","Shih, Pittinsky, & Ambady (1999) Study 1",46,"d",0.73,0.76,139,"d","0.17","0.42","Moon & Roeder (2014)","no signal - inconsistent","identity salience (Asian vs. control vs. female; answered questions about identity)","math performance (12-questions; accuracy DV)","very close","SP: Special Issue #9",NA,NA,NA,NA,NA,"http://homepages.se.edu/cvonbergen/files/2013/01/Stereotype-Suscetability_Identity-Salience-and-Shifts-in-Quantitative-Performance.pdf","10.1111/1467-9280.00111","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000193","https://osf.io/b9pkj/","https://osf.io/b9pkj/","http://www.openscienceframework.org/project/wJjXz/",NA,NA,NA,NA,"social",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"yes",583,473,48.358,10.8082391304348,2.54515789473684,24.8947368421053,0.568854691075515,0.355217760623573,176.606811009067,9.29509531626669,0.865058286672277,NA
"584","infidelity distress sex difference effect","Buss et al. (1999) Study 2 (Young)",234,"d",1.3,0.28,87,"d","1.11","0.5","IJzerman et al. (2014) Study 1 (Young)","signal - consistent (imprecise)","sex (male vs. female)","distress to sexual vs. emotional infidelity (8 dilemmas; binary choice)","close","SP: Special Issue #10","different number of items (6 vs. 8)",NA,NA,NA,NA,"http://www.toddkshackelford.com/downloads/Buss-PR-1999.pdf","10.1111/j.1475-6811.1999.tb00215.x","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000185","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/project/HQvmc/",NA,NA,NA,NA,"social",1999,NA,"Men are more distressed by sexual (cf. emotional) infidelity whereas women are more distressed by emotional (cf. sexual) infidelity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"yes",584,147,1,0.63034188034188,0.0526315789473684,7.73684210526316,0.0331758884390463,0.138647844534406,20.4505570688249,1.07634510888552,0.376288260798938,NA
"585","infidelity distress sex difference effect","Buss et al. (1999) Study 2 (Young)",234,"d",1.3,0.28,199,"d","0.3","0.28","IJzerman et al. (2014) Study 2 (Young)","signal - inconsistent, smaller","sex (male vs. female)","distress to sexual vs. emotional infidelity (8 dilemmas; binary choice)","close","SP: Special Issue #11",NA,NA,NA,NA,NA,"http://www.toddkshackelford.com/downloads/Buss-PR-1999.pdf","10.1111/j.1475-6811.1999.tb00215.x","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000185","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/project/HQvmc/",NA,NA,NA,NA,"social",1999,NA,"Men are more distressed by sexual (cf. emotional) infidelity whereas women are more distressed by emotional (cf. sexual) infidelity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"yes",585,147,1,0.63034188034188,0.0526315789473684,7.73684210526316,0.0331758884390463,0.138647844534406,20.4505570688249,1.07634510888552,0.376288260798938,NA
"586","infidelity distress sex difference effect","Buss et al. (1999) Study 2 (Young)",234,"d",1.3,0.28,1221,"d","0.5","0.12","IJzerman et al. (2014) Study 4 (Young)","signal - inconsistent, smaller","sex (male vs. female)","distress to sexual vs. emotional infidelity (8 dilemmas; binary choice)","close","SP: Special Issue #12","mTurk sample; young (18–30 year olds) subset of Study 4",NA,NA,NA,NA,"http://www.toddkshackelford.com/downloads/Buss-PR-1999.pdf","10.1111/j.1475-6811.1999.tb00215.x","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000185","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/project/HQvmc/",NA,NA,NA,NA,"social",1999,NA,"Men are more distressed by sexual (cf. emotional) infidelity whereas women are more distressed by emotional (cf. sexual) infidelity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"yes",586,147,1,0.63034188034188,0.0526315789473684,7.73684210526316,0.0331758884390463,0.138647844534406,20.4505570688249,1.07634510888552,0.376288260798938,NA
"587","infidelity distress sex difference effect","Shackelford et al. (2004) (Old)",202,"d",0.57,0.28,143,"d","-0.09","0.34","IJzerman et al. (2014) Study 3 (Old)","no signal - inconsistent (imprecise)","sex (male vs. female)","distress to sexual vs. emotional infidelity (8 dilemmas; binary choice)","close","SP: Special Issue #13",NA,NA,NA,NA,NA,"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.387.7314&rep=rep1&type=pdf","10.1007/s12110-004-1010-z","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000185","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/project/HQvmc/",NA,NA,NA,NA,"social",2004,NA,"Men are more distressed by sexual (cf. emotional) infidelity whereas women are more distressed by emotional (cf. sexual) infidelity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"yes",587,28,3,0.146039603960396,0.214285714285714,2,0.0104314002828854,0.138647844534406,4.09011141376498,0.292150815268927,0.149753162459961,NA
"588","infidelity distress sex difference effect","Shackelford et al. (2004) (Old)",202,"d",0.57,0.28,245,"d","0.05","0.28","IJzerman et al. (2014) Study 4 (Old)","no signal - inconsistent","sex (male vs. female)","distress to sexual vs. emotional infidelity (8 dilemmas; binary choice)","close","SP: Special Issue #14","mTurk sample; old (50–70 year olds) subset of Study 4",NA,NA,NA,NA,"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.387.7314&rep=rep1&type=pdf","10.1007/s12110-004-1010-z","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000185","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/nrbjz/","http://www.openscienceframework.org/project/HQvmc/",NA,NA,NA,NA,"social",2004,NA,"Men are more distressed by sexual (cf. emotional) infidelity whereas women are more distressed by emotional (cf. sexual) infidelity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"yes",588,28,3,0.146039603960396,0.214285714285714,2,0.0104314002828854,0.138647844534406,4.09011141376498,0.292150815268927,0.149753162459961,NA
"589","cleanliness priming effect (scrambled sentence)","Schnall et al. (2008a) Study 1",40,"d",-0.59,0.55,208,"d","-0.01","0.27","Johnson et al. (2014a) Study 1","no signal - inconsistent","exposure to cleanliness-related vs. control words (scrambled sentence task)","moral wrongness (6 moral dilemmas)","close","SP: Special Issue #15","7 vs. 9 point scale; US rather than UK undergraduates",NA,NA,NA,"#sbh2008a","https://core.ac.uk/download/pdf/1335179.pdf","10.1111/j.1467-9280.2008.02227.x","http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000186","http://www.openscienceframework.org/zwrxc/","http://www.openscienceframework.org/zwrxc/","http://www.openscienceframework.org/project/NeSt8/","https://osf.io/4cs3k/",NA,NA,NA,"social",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"yes","yes",589,164,97.88,5.3235,9.788,16.4,0.53235,0.265156483021042,56.4624214945008,5.64624214945008,0.885174300541942,NA
"590","cleanliness priming effect (scrambled sentence)","Schnall et al. (2008a) Study 1",40,"d",-0.59,0.55,736,"d","0.05","0.14","Johnson et al. (2014b,online)","no signal - inconsistent","exposure to cleanliness-related vs. control words (scrambled sentence task)","moral wrongness (6 moral dilemmas)","close","SP: Special Issue #16","7 vs. 9 point scale; online instead of lab setting; US rather than UK undergraduates",NA,NA,NA,"#sbh2008a","https://core.ac.uk/download/pdf/1335179.pdf","10.1111/j.1467-9280.2008.02227.x","https://github.com/eplebel/science-commons/blob/master/curated/schnalletal2008a/johnson%20et%20al%20(2014b).pdf","https://osf.io/rbeqk/",NA,"https://osf.io/jxad3/","https://osf.io/4cs3k/",NA,NA,NA,"social",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"yes","yes",590,164,97.88,5.3235,9.788,16.4,0.53235,0.265156483021042,56.4624214945008,5.64624214945008,0.885174300541942,NA
